worm_level,points_to_next_level,cumulative_points_to_reach_level,bite_strength
0,5,0,2
1,7,5,2.5
2,9,12,3.125
3,11,21,3.90625
4,15,32,4.8828125
5,19,47,6.103515625
6,25,66,7.62939453125
7,32,91,9.5367431640625
8,41,123,11.920928955078125
9,54,164,14.901161193847656
10,69,218,18.62645149230957
11,90,287,23.283064365386963
12,117,377,29.103830456733704
13,152,494,36.37978807091713
14,197,646,45.47473508864641
15,256,843,56.843418860808015
16,333,1099,71.05427357601002
17,433,1432,88.81784197001252
18,563,1865,111.02230246251565
19,731,2428,138.77787807814457
20,951,3159,173.4723475976807
21,1236,4110,216.8404344971009
22,1606,5346,271.0505431213761
23,2088,6952,338.8131789017201
24,2715,9040,423.51647362715016
25,3529,11755,529.3955920339378
26,4587,15284,661.7444900424221
27,5963,19871,827.1806125530277
28,7752,25834,1033.9757656912846
29,10077,33586,1292.4697071141059
30,13100,43663,1615.5871338926322
31,17030,56763,2019.4839173657901
32,22139,73793,2524.354896707238
33,28781,95932,3155.443620884047
34,37415,124713,3944.3045261050593
35,48640,162128,4930.380657631324
36,63232,210768,6162.975822039154
37,82201,274000,7703.719777548943
38,106861,356201,9629.649721936179
39,138919,463062,12037.062152420225
40,180595,601981,15046.32769052528
41,234773,782576,18807.9096131566
42,305205,1017349,23509.887016445748
43,396766,1322554,29387.358770557188
44,515796,1719320,36734.19846319649
45,670535,2235116,45917.7480789956
46,871695,2905651,57397.18509874451
47,1133203,3777346,71746.48137343064
48,1473164,4910549,89683.1017167883
49,1915113,6383713,112103.87714598537
50,2489647,8298826,140129.84643248172
51,3236540,10788473,175162.30804060213
52,4207502,14025013,218952.88505075267
53,5469753,18232515,273691.10631344083
54,7110679,23702268,342113.88289180107
55,9243882,30812947,427642.3536147513
56,12017047,40056829,534552.9420184392
57,15622161,52073876,668191.177523049
58,20308809,67696037,835238.9719038112
59,26401451,88004846,1044048.7148797639
60,34321886,114406297,1305060.8935997048
61,44618452,148728183,1631326.1169996313
62,58003988,193346635,2039157.646249539
63,75405184,251350623,2548947.057811924
64,98026739,326755807,3186183.8222649046
65,127434760,424782546,3982729.7778311307
66,165665188,552217306,4978412.222288913
67,215364744,717882494,6223015.277861142
68,279974168,933247238,7778769.097326427
69,363966418,1213221406,9723461.371658035
70,473156343,1577187824,12154326.714572541
71,615103245,2050344167,15192908.393215679
72,799634219,2665447412,18991135.491519596
73,1039524484,3465081631,23738919.364399496
74,1351381830,4504606115,29673649.20549937
75,1756796378,5855987945,37092061.50687421
76,2283835292,7612784323,46365076.88359277
77,2968985879,9896619615,57956346.10449096
78,3859681643,12865605494,72445432.6306137
79,5017586135,16725287137,90556790.78826712
80,6522861976,21742873272,113195988.4853339
81,8479720568,28265735248,141494985.60666737
82,11023636739,36745455816,176868732.00833422
83,14330727760,47769092555,221085915.0104178
84,18629946088,62099820315,276357393.76302224
85,24218929914,80729766403,345446742.2037778
86,31484608888,104948696317,431808427.75472224
87,40929991555,136433305205,539760534.6934028
88,53208989021,177363296760,674700668.3667535
89,69171685727,230572285781,843375835.4584419
90,89923191445,299743971508,1054219794.3230523
91,116900148879,389667162953,1317774742.9038155
92,151970193542,506567311832,1647218428.6297693
93,197561251605,658537505374,2059023035.7872117
94,256829627086,856098756979,2573778794.7340145
95,333878515212,1112928384065,3217223493.4175177
96,434042069775,1446806899277,4021529366.7718973
97,564254690707,1880848969052,5026911708.464872
98,733531097919,2445103659759,6283639635.58109
99,953590427295,3178634757678,7854549544.476362
100,1239667555483,4132225184973,9818186930.595453
